Task,Algorithm,VectorSize,TimeExecution,NumberThreads,Status
Search,LINEAR_SEARCH,1000,1.4988,null,User Found
Search,LINEAR_SEARCH,1000,5.3237,2,User Found
Search,LINEAR_SEARCH,1000,0.8913,3,User Found
Search,LINEAR_SEARCH,1000,1.871,5,User Found
Search,LINEAR_SEARCH,1000,2.2344,8,User Found
Search,BINARY_SEARCH,1000,0.0126,null,User Found
Search,BINARY_SEARCH,1000,0.796,2,User Found
Search,BINARY_SEARCH,1000,0.9217,3,User Found
Search,BINARY_SEARCH,1000,1.4939,5,User Found
Search,BINARY_SEARCH,1000,2.4699,8,User Found
Search,LINEAR_SEARCH,10000,1.3309,null,User Found
Search,LINEAR_SEARCH,10000,2.0205,2,User Found
Search,LINEAR_SEARCH,10000,3.2806,3,User Found
Search,LINEAR_SEARCH,10000,3.2935,5,User Found
Search,LINEAR_SEARCH,10000,2.2458,8,User Found
Search,BINARY_SEARCH,10000,0.005,null,User Found
Search,BINARY_SEARCH,10000,0.5551,2,User Found
Search,BINARY_SEARCH,10000,0.7803,3,User Found
Search,BINARY_SEARCH,10000,1.2795,5,User Found
Search,BINARY_SEARCH,10000,1.773,8,User Found
Search,LINEAR_SEARCH,100000,3.0864,null,User Found
Search,LINEAR_SEARCH,100000,1.6329,2,User Found
Search,LINEAR_SEARCH,100000,2.9547,3,User Found
Search,LINEAR_SEARCH,100000,1.4532,5,User Found
Search,LINEAR_SEARCH,100000,2.542,8,User Found
Search,BINARY_SEARCH,100000,0.0041,null,User Found
Search,BINARY_SEARCH,100000,0.6373,2,User Found
Search,BINARY_SEARCH,100000,0.6708,3,User Found
Search,BINARY_SEARCH,100000,0.9869,5,User Found
Search,BINARY_SEARCH,100000,1.5539,8,User Found
Search,LINEAR_SEARCH,1000000,10.0239,null,User Found
Search,LINEAR_SEARCH,1000000,7.0005,2,User Found
Search,LINEAR_SEARCH,1000000,6.0083,3,User Found
Search,LINEAR_SEARCH,1000000,6.0598,5,User Found
Search,LINEAR_SEARCH,1000000,5.616,8,User Found
Search,BINARY_SEARCH,1000000,0.0136,null,User Found
Search,BINARY_SEARCH,1000000,1.0458,2,User Found
Search,BINARY_SEARCH,1000000,1.409,3,User Found
Search,BINARY_SEARCH,1000000,1.8991,5,User Found
Search,BINARY_SEARCH,1000000,1.4774,8,User Found
Search,LINEAR_SEARCH,10000000,81.2329,null,User Found
Search,LINEAR_SEARCH,10000000,64.1487,2,User Found
Search,LINEAR_SEARCH,10000000,54.4481,3,User Found
Search,LINEAR_SEARCH,10000000,46.7394,5,User Found
Search,LINEAR_SEARCH,10000000,65.4844,8,User Found
Search,BINARY_SEARCH,10000000,0.0317,null,User Found
Search,BINARY_SEARCH,10000000,0.6461,2,User Found
Search,BINARY_SEARCH,10000000,1.2333,3,User Found
Search,BINARY_SEARCH,10000000,0.9466,5,User Found
Search,BINARY_SEARCH,10000000,1.8513,8,User Found
