Task,Algorithm,VectorSize,TimeExecution,NumberThreads,Status
sort,QUICK_SORT,1000,1.3259,null,Ordered Users
sort,QUICK_SORT,1000,0.2764,7,Ordered Users
sort,BUBBLE_SORT,1000,0.5303,null,Ordered Users
sort,BUBBLE_SORT,1000,0.1522,7,Ordered Users
sort,QUICK_SORT,10000,5.8573,null,Ordered Users
sort,QUICK_SORT,10000,1.3113,7,Ordered Users
sort,BUBBLE_SORT,10000,1.7452,null,Ordered Users
sort,BUBBLE_SORT,10000,1.6792,7,Ordered Users
sort,QUICK_SORT,100000,75.7611,null,Ordered Users
sort,QUICK_SORT,100000,4.1081,7,Ordered Users
sort,BUBBLE_SORT,100000,7.673,null,Ordered Users
sort,BUBBLE_SORT,100000,3.156,7,Ordered Users
sort,QUICK_SORT,1000000,444.7032,null,Ordered Users
sort,QUICK_SORT,1000000,46.8613,7,Ordered Users
sort,BUBBLE_SORT,1000000,27.6582,null,Ordered Users
sort,BUBBLE_SORT,1000000,33.2257,7,Ordered Users
sort,QUICK_SORT,10000000,6968.6437,null,Ordered Users
sort,QUICK_SORT,10000000,531.9799,7,Ordered Users
sort,BUBBLE_SORT,10000000,414.9886,null,Ordered Users
sort,BUBBLE_SORT,10000000,433.2707,7,Ordered Users
